Month,Year,Date,SP500_Close,SP_Return,CPI,Inflation_Rate
1,1997,Jan-97,786.16,0.5927547,159.4,0.188560654
2,1997,Feb-97,790.82,-4.2613996,159.7,0.188205772
3,1997,Mar-97,757.12,5.8405537,159.8,0.062617408
4,1997,Apr-97,801.34,5.8576884,159.9,0.062578223
5,1997,May-97,848.28,4.3452634,159.9,0
6,1997,Jun-97,885.14,7.814583,160.2,0.187617261
7,1997,Jul-97,954.31,-5.7465603,160.4,0.124843945
8,1997,Aug-97,899.47,5.3153524,160.8,0.249376559
9,1997,Sep-97,947.28,-3.4477662,161.2,0.248756219
10,1997,Oct-97,914.62,4.4586823,161.5,0.186104218
11,1997,Nov-97,955.4,1.5731631,161.7,0.123839009
12,1997,Dec-97,970.43,1.015014,161.8,0.061842919
1,1998,Jan-98,980.28,7.0449259,162,0.123609394
2,1998,Feb-98,1049.34,4.994568,162,0
3,1998,Mar-98,1101.75,0.9076469,162,0
4,1998,Apr-98,1111.75,-1.8826175,162.2,0.12345679
5,1998,May-98,1090.82,3.9438221,162.6,0.246609125
6,1998,Jun-98,1133.84,-1.1615395,162.8,0.12300123
7,1998,Jul-98,1120.67,-14.5796711,163.2,0.245700246
8,1998,Aug-98,957.28,6.2395537,163.4,0.12254902
9,1998,Sep-98,1017.01,8.0294196,163.5,0.06119951
10,1998,Oct-98,1098.67,5.8852977,163.9,0.244648318
11,1998,Nov-98,1163.33,5.6647727,164.1,0.122025625
12,1998,Dec-98,1229.23,4.1009412,164.4,0.182815356
1,1999,Jan-99,1279.64,-3.2282517,164.7,0.182481752
2,1999,Feb-99,1238.33,3.8794182,164.7,0
3,1999,Mar-99,1286.37,3.7943982,164.8,0.060716454
4,1999,Apr-99,1335.18,-2.4970416,165.9,0.667475728
5,1999,May-99,1301.84,5.4438333,166,0.060277275
6,1999,Jun-99,1372.71,-3.2046099,166,0
7,1999,Jul-99,1328.72,-0.6254139,166.7,0.421686747
8,1999,Aug-99,1320.41,-2.8551738,167.1,0.23995201
9,1999,Sep-99,1282.71,6.2539467,167.8,0.418910832
10,1999,Oct-99,1362.93,1.9061874,168.1,0.178784267
11,1999,Nov-99,1388.91,5.7843921,168.4,0.178465199
12,1999,Dec-99,1469.25,-5.0903522,168.8,0.237529691
1,2000,Jan-00,1394.46,-2.0108142,169.3,0.296208531
2,2000,Feb-00,1366.42,9.6719896,170,0.413467218
3,2000,Mar-00,1498.58,-3.079582,171,0.588235294
4,2000,Apr-00,1452.43,-2.1914998,170.9,-0.058479532
5,2000,May-00,1420.6,2.3933549,171.2,0.175541252
6,2000,Jun-00,1454.6,-1.6341262,172.2,0.58411215
7,2000,Jul-00,1430.83,6.0699035,172.7,0.290360046
8,2000,Aug-00,1517.68,-5.3482948,172.7,0
9,2000,Sep-00,1436.51,-0.4949496,173.6,0.521134916
10,2000,Oct-00,1429.4,-8.006856,173.9,0.17281106
11,2000,Nov-00,1314.95,0.4053386,174.2,0.172512938
12,2000,Dec-00,1320.28,3.4636592,174.6,0.229621125
1,2001,Jan-01,1366.01,-9.2290686,175.6,0.572737686
2,2001,Feb-01,1239.94,-6.420472,176,0.227790433
3,2001,Mar-01,1160.33,7.6814355,176.1,0.056818182
4,2001,Apr-01,1249.46,0.5090199,176.4,0.170357751
5,2001,May-01,1255.82,-2.5035435,177.3,0.510204082
6,2001,Jun-01,1224.38,-1.074013,177.7,0.225606317
7,2001,Jul-01,1211.23,-6.4108386,177.4,-0.16882386
8,2001,Aug-01,1133.58,-8.172339,177.4,0
9,2001,Sep-01,1040.94,1.8099026,178.1,0.394588501
10,2001,Oct-01,1059.78,7.517598,177.6,-0.280741157
11,2001,Nov-01,1139.45,0.7573829,177.5,-0.056306306
12,2001,Dec-01,1148.08,-1.5573828,177.4,-0.056338028
1,2002,Jan-02,1130.2,-2.0766236,177.7,0.169109357
2,2002,Feb-02,1106.73,3.6738861,178,0.16882386
3,2002,Mar-02,1147.39,-6.1417652,178.5,0.280898876
4,2002,Apr-02,1076.92,-0.9081455,179.3,0.448179272
5,2002,May-02,1067.14,-7.2455348,179.5,0.111544897
6,2002,Jun-02,989.82,-7.9004263,179.6,0.055710306
7,2002,Jul-02,911.62,0.488142,180,0.222717149
8,2002,Aug-02,916.07,-11.0024343,180.5,0.277777778
9,2002,Sep-02,815.28,8.6448827,180.8,0.166204986
10,2002,Oct-02,885.76,5.7069635,181.2,0.221238938
11,2002,Nov-02,936.31,-6.0332582,181.5,0.165562914
12,2002,Dec-02,879.82,-2.7414698,181.8,0.165289256
1,2003,Jan-03,855.7,-1.7003623,182.6,0.440044004
2,2003,Feb-03,841.15,0.8357606,183.6,0.547645126
3,2003,Mar-03,848.18,8.1044118,183.9,0.163398693
4,2003,Apr-03,916.92,5.0898661,183.2,-0.380641653
5,2003,May-03,963.59,1.1322243,182.9,-0.163755459
6,2003,Jun-03,974.5,1.6223704,183.1,0.109349371
7,2003,Jul-03,990.31,1.7873191,183.7,0.327689787
8,2003,Aug-03,1008.01,-1.1944326,184.5,0.435492651
9,2003,Sep-03,995.97,5.4961495,185.1,0.325203252
10,2003,Oct-03,1050.71,0.7128513,184.9,-0.108049703
11,2003,Nov-03,1058.2,5.0765451,185,0.054083288
12,2003,Dec-03,1111.92,1.7276423,185.5,0.27027027
1,2004,Jan-04,1131.13,1.220903,186.3,0.431266846
2,2004,Feb-04,1144.94,-1.6358936,186.7,0.214707461
3,2004,Mar-04,1126.21,-1.6790829,187.1,0.214247456
4,2004,Apr-04,1107.3,1.2083446,187.4,0.160342063
5,2004,May-04,1120.68,1.7989078,188.2,0.426894344
6,2004,Jun-04,1140.84,-3.4290523,188.9,0.37194474
7,2004,Jul-04,1101.72,0.2287333,189.1,0.105876125
8,2004,Aug-04,1104.24,0.9363906,189.2,0.052882073
9,2004,Sep-04,1114.58,1.4014248,189.8,0.317124736
10,2004,Oct-04,1130.2,3.8594939,190.8,0.52687039
